GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,Neighborhood_RecentSoldPrice
522105010,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,LEDGES,93300,0,279700,373000,HaydnLk,10015.0,Dwg&Lot,0,1,2016.0,C'Block,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,2243.0,1142.0,9.0,4.0,1.0,0.0,Attachd,2016.0,3.0,647.0,2017.0,10.0,373000
522105010,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,LEDGES,93300,0,279700,373000,HaydnLk,10015.0,Dwg&Lot,0,1,2016.0,C'Block,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,2243.0,1142.0,9.0,4.0,1.0,0.0,Attachd,2016.0,3.0,647.0,2016.0,5.0,373000
522110120,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,LEDGES,98100,0,294400,392500,HaydnLk,14904.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2456.0,1604.0,8.0,4.0,1.0,0.0,Attachd,2018.0,3.0,744.0,2019.0,1.0,392500
522110120,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,LEDGES,98100,0,294400,392500,HaydnLk,14904.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2456.0,1604.0,8.0,4.0,1.0,0.0,Attachd,2018.0,3.0,744.0,2018.0,1.0,392500
522150085,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,AUDUBON,99400,0,298000,397400,HaydnLk,9071.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1721.0,1721.0,5.0,2.0,1.0,0.0,Attachd,2018.0,3.0,911.0,None,None,397400
522150100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,AUDUBON,80000,0,57300,137300,HaydnLk,9189.0,Vac.Lot,0,1,0.0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.0,0.0,0.0,0.0,0.0,0.0,No Data,0.0,0.0,0.0,2018.0,7.0,137300
522150100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,AUDUBON,80000,0,57300,137300,HaydnLk,9189.0,Vac.Lot,0,1,0.0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.0,0.0,0.0,0.0,0.0,0.0,No Data,0.0,0.0,0.0,2017.0,4.0,137300
522150130,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,LEOPOLD,107200,0,321600,428800,HaydnLk,13915.0,Dwg&Lot,0,1,2017.0,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,1824.0,1824.0,7.0,2.0,1.0,0.0,Attachd,2017.0,3.0,1057.0,2018.0,6.0,428800
522150130,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,LEOPOLD,107200,0,321600,428800,HaydnLk,13915.0,Dwg&Lot,0,1,2017.0,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,1824.0,1824.0,7.0,2.0,1.0,0.0,Attachd,2017.0,3.0,1057.0,2017.0,4.0,428800
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,LEOPOLD,100600,0,301900,402500,HaydnLk,9200.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552.0,1552.0,7.0,2.0,1.0,0.0,Attachd,2018.0,3.0,825.0,2018.0,5.0,402500
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,LEOPOLD,100600,0,301900,402500,HaydnLk,9200.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552.0,1552.0,7.0,2.0,1.0,0.0,Attachd,2018.0,3.0,825.0,2017.0,12.0,402500
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,LEOPOLD,100600,0,301900,402500,HaydnLk,9200.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552.0,1552.0,7.0,2.0,1.0,0.0,Attachd,2018.0,3.0,825.0,2017.0,4.0,402500
522202010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,QUARRY,74600,0,223800,298400,HaydnLk,7153.0,Dwg&Lot,0,1,2017.0,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1429.0,1297.0,8.0,2.0,1.0,0.0,Attachd,2017.0,2.0,473.0,2017.0,9.0,298400
522202010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,QUARRY,74600,0,223800,298400,HaydnLk,7153.0,Dwg&Lot,0,1,2017.0,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1429.0,1297.0,8.0,2.0,1.0,0.0,Attachd,2017.0,2.0,473.0,2016.0,12.0,298400
522205150,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,QUARRY,92200,0,276600,368800,HaydnLk,6050.0,Dwg&Lot,0,1,2017.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1467.0,1467.0,7.0,2.0,1.0,0.0,Attachd,2017.0,2.0,663.0,None,None,368800
522205160,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,QUARRY,92200,0,276600,368800,HaydnLk,6050.0,Dwg&Lot,0,1,2017.0,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1467.0,1467.0,7.0,2.0,1.0,0.0,Attachd,2017.0,2.0,663.0,2017.0,4.0,368800
522205170,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,QUARRY,153200,0,459600,612800,HaydnLk,14033.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,2892.0,1864.0,10.0,4.0,1.0,0.0,Attachd,2018.0,3.0,1298.0,2016.0,3.0,612800
526300100,RESIDENTIAL,1-STORY 1945 & OLDER,50010.0,GRAND,51100,0,153200,204300,N Ames,24742.0,Dwg&Lot,0,1,1930.0,Brk/Til,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1754.0,816.0,7.0,3.0,1.0,0.0,Detachd,1930.0,2.0,576.0,None,None,204300
526300120,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,GRAND,152300,0,237700,390000,N Ames,240000.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,2504.0,942.0,8.0,3.0,1.0,0.0,BuiltIn,1997.0,2.0,633.0,None,None,390000
