GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,SalePrice,SaleType,SaleCond
522105010,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,93300,0,279700,373000,HaydnLk,10015,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,2243,1142,9,4,1,0,Attachd,2016,3,647,2017,10,365400,WRDConv,Normal
522105010,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,93300,0,279700,373000,HaydnLk,10015,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,2243,1142,9,4,1,0,Attachd,2016,3,647,2016,5,75000,WRDConv,Normal
522110120,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,98100,0,294400,392500,HaydnLk,14904,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2456,1604,8,4,1,0,Attachd,2018,3,744,2019,1,392500,WRDConv,Normal
522110120,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,98100,0,294400,392500,HaydnLk,14904,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2456,1604,8,4,1,0,Attachd,2018,3,744,2018,1,75000,WRDConv,Normal
522150100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,80000,0,57300,137300,HaydnLk,9189,Vac.Lot,0,1,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,No Data,0,0,0,2018,7,80000,WRDConv,Normal
522150100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,80000,0,57300,137300,HaydnLk,9189,Vac.Lot,0,1,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,0,No Data,0,0,0,2017,4,3999,WRDConv,Abnorml
522150130,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,107200,0,321600,428800,HaydnLk,13915,Dwg&Lot,0,1,2017,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,1824,1824,7,2,1,0,Attachd,2017,3,1057,2018,6,502915,NewSold,Partial
522150130,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,107200,0,321600,428800,HaydnLk,13915,Dwg&Lot,0,1,2017,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,1824,1824,7,2,1,0,Attachd,2017,3,1057,2017,4,6085,WRDConv,Abnorml
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,100600,0,301900,402500,HaydnLk,9200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552,1552,7,2,1,0,Attachd,2018,3,825,2018,5,406270,NewSold,Partial
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,100600,0,301900,402500,HaydnLk,9200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552,1552,7,2,1,0,Attachd,2018,3,825,2017,12,76000,WRDConv,Normal
